Region,Province,Labor Productivity (VND/person),Female Population (people),Industrial Production Index (%),Self-built Housing Floor Area (m²),Completed Housing Floor Area (m²),Enterprise Revenue (VND),Fixed Assets Value (VND),Non-agricultural Individual Labor (people),Pre-tax Profit (VND),Non-agricultural Individual Establishments,Operating Enterprises,Enterprises by Labor Size,Enterprises by Capital Size,Enterprises per 1000 People,Active Enterprises,Newly Registered Enterprises,Active Cooperatives,Female Labor in Enterprises (people),Cooperative Labor (people),Average Monthly Income (VND),Fixed Assets per Worker (VND),Total Enterprise Labor (people),Total Labor Income (VND),Profit Margin (%),Average Annual Capital (VND),Registered Deaths (people),Divorce Cases,Average First Marriage Age (years),Sex Ratio (%)
Đồng bằng sông Cửu Long,Cà Mau,122.6,590.46,105.5,1671.0,1713.0,139758.0,40437.0,119749.0,7741.0,65801.0,3662.0,3662.0,3662.0,3.2,3842.0,658.0,160.0,19432.0,1698.0,8969.0,496.0,51007.0,5253.0,5.54,114699.0,9714.0,1415.0,26.73,104.52
Đồng bằng sông Cửu Long,Cần Thơ,185.7,630.7,129.2,784.0,944.0,340332.0,79578.0,158526.0,7599.0,86696.0,9660.0,9660.0,9660.0,8.0,10060.0,1807.0,139.0,52728.0,1265.0,7773.0,373.2,124445.0,11303.0,2.23,254829.0,11605.0,745.0,29.32,98.56
Đồng bằng sông Cửu Long,Hậu Giang,119.2,360.23,116.9,894.0,977.0,99588.0,30948.0,94006.0,3822.0,46190.0,2157.0,2157.0,2157.0,3.5,2532.0,562.0,181.0,27644.0,1649.0,7706.0,446.8,48888.0,4437.0,3.84,85512.0,7264.0,423.0,27.96,102.5
Đồng bằng sông Cửu Long,Kiên Giang,128.2,855.42,117.9,1655.0,3092.0,168683.0,155026.0,174294.0,10205.0,90639.0,7619.0,7619.0,7619.0,4.9,8637.0,1892.0,443.0,32963.0,2693.0,8069.0,753.5,94498.0,9062.0,6.05,392724.0,15850.0,589.0,27.78,104.78
Đồng bằng sông Cửu Long,Long An,159.5,868.34,109.0,1666.0,1713.0,627570.0,290030.0,131492.0,15172.0,70873.0,9582.0,9582.0,9582.0,6.6,11493.0,1763.0,138.0,167085.0,1128.0,9963.0,411.0,334094.0,39236.0,2.42,732317.0,13728.0,708.0,26.99,99.72
Đồng bằng sông Cửu Long,Sóc Trăng,108.7,591.43,105.1,1186.0,1288.0,116744.0,51547.0,109061.0,2811.0,56982.0,2724.0,2724.0,2724.0,2.4,2895.0,450.0,171.0,22562.0,1386.0,5999.0,355.6,47249.0,3332.0,2.41,182441.0,14239.0,582.0,27.71,102.53
Đồng bằng sông Cửu Long,Tiền Giang,107.0,906.36,113.7,1474.0,1550.0,222785.0,71696.0,202465.0,6353.0,87096.0,4848.0,4848.0,4848.0,3.1,5530.0,935.0,203.0,105672.0,1921.0,8869.0,220.8,178525.0,18407.0,2.85,168458.0,16667.0,1271.0,27.07,96.97
Đồng bằng sông Cửu Long,Trà Vinh,137.0,515.94,75.9,1270.0,1283.0,84047.0,96220.0,126361.0,5026.0,68154.0,2189.0,2189.0,2189.0,2.6,2627.0,519.0,133.0,28966.0,696.0,7237.0,1727.0,48373.0,4147.0,5.98,165117.0,9615.0,432.0,26.41,97.55
Đồng bằng sông Cửu Long,Vĩnh Long,124.8,520.11,125.0,855.0,926.0,106851.0,39299.0,134970.0,2780.0,73896.0,2509.0,2509.0,2509.0,2.8,2877.0,438.0,120.0,46032.0,1238.0,8711.0,206.8,80660.0,8171.0,2.6,80227.0,9651.0,462.0,27.23,97.81
Đồng bằng sông Cửu Long,Đồng Tháp,125.24,659.63,113.6,1337.0,1407.0,218430.0,36968.0,191196.0,7263.0,110928.0,3648.0,3648.0,3648.0,2.5,3985.0,738.0,198.0,39804.0,1877.0,7147.0,299.0,79876.0,6670.0,3.33,125670.0,18327.0,532.0,27.51,102.32
Đồng bằng sông Hồng,Bắc Ninh,327.3,756.21,104.3,1883.0,2120.0,1690907.0,315007.0,232987.0,82020.0,131182.0,11958.0,11958.0,11958.0,10.0,14894.0,2700.0,382.0,237135.0,2751.0,11840.0,465.0,445434.0,64223.0,4.85,1054303.0,7585.0,184.0,25.1,96.81
Đồng bằng sông Hồng,Hà Nam,168.4,443.24,114.1,1417.0,1420.0,288538.0,142759.0,91882.0,3243.0,52551.0,4342.0,4342.0,4342.0,5.9,5148.0,796.0,201.0,92410.0,1712.0,9402.0,547.0,163159.0,18076.0,1.12,304057.0,7733.0,188.0,26.71,98.1
Đồng bằng sông Hồng,Hà Nội,304.1,4268.36,108.8,7740.0,8219.0,6138081.0,3778998.0,684650.0,317675.0,364634.0,150522.0,150522.0,150522.0,22.2,187007.0,29720.0,1187.0,1023301.0,14403.0,12825.0,393.5,2411714.0,357220.0,5.18,11840299.0,46555.0,1209.0,26.89,97.63
Đồng bằng sông Hồng,Hưng Yên,196.4,642.62,110.4,2523.0,2524.0,603059.0,234752.0,139873.0,38340.0,78163.0,7100.0,7100.0,7100.0,6.9,8968.0,1364.0,193.0,129610.0,1405.0,10985.0,372.2,244955.0,31745.0,6.36,630634.0,9482.0,164.0,26.41,100.87
Đồng bằng sông Hồng,Hải Dương,181.2,971.32,111.3,3021.0,3041.0,559241.0,195778.0,185737.0,16440.0,106607.0,8624.0,8624.0,8624.0,5.4,10605.0,1579.0,455.0,215798.0,6080.0,9602.0,382.5,375660.0,43005.0,2.94,466937.0,13912.0,420.0,26.79,100.43
Đồng bằng sông Hồng,Hải Phòng,356.8,1052.69,114.4,2707.0,2849.0,1263181.0,548897.0,162464.0,2306.0,101395.0,17340.0,17340.0,17340.0,9.9,20730.0,3294.0,240.0,259854.0,2818.0,11674.0,624.3,529118.0,72476.0,0.18,1178748.0,15395.0,801.0,27.08,98.35
Đồng bằng sông Hồng,Nam Định,247.83,1087.08,114.3,2504.0,2526.0,193324.0,64027.0,213189.0,2239.0,106672.0,5996.0,5996.0,5996.0,3.6,6848.0,1088.0,387.0,132110.0,4541.0,7545.0,221.7,211018.0,18735.0,1.16,184361.0,15007.0,673.0,25.19,96.05
Đồng bằng sông Hồng,Ninh Bình,166.4,505.08,104.1,1687.0,1687.0,373472.0,157064.0,156032.0,9935.0,94515.0,4156.0,4156.0,4156.0,5.1,5162.0,781.0,294.0,86809.0,4483.0,8476.0,481.7,152521.0,15407.0,2.66,360859.0,7032.0,126.0,25.85,100.12
Đồng bằng sông Hồng,Quảng Ninh,405.7,670.22,106.0,1243.0,1479.0,690802.0,317137.0,110907.0,15070.0,71172.0,8183.0,8183.0,8183.0,7.3,9908.0,1643.0,197.0,79300.0,1389.0,12469.0,838.7,239069.0,35153.0,2.18,609294.0,7607.0,425.0,26.46,103.35
Đồng bằng sông Hồng,Thái Bình,111.5,961.47,114.8,3333.0,3348.0,200411.0,56975.0,207035.0,-2888.0,120618.0,5195.0,5195.0,5195.0,3.2,5933.0,1130.0,449.0,121354.0,8462.0,7491.0,216.2,199896.0,17213.0,-1.44,177780.0,16372.0,322.0,27.02,97.28
Đồng bằng sông Hồng,Vĩnh Phúc,260.5,599.59,115.5,2178.0,2180.0,654449.0,154685.0,117208.0,39046.0,68671.0,7137.0,7137.0,7137.0,7.6,9100.0,1377.0,276.0,127859.0,2205.0,10528.0,361.6,238068.0,29223.0,5.97,440646.0,6733.0,288.0,25.4,99.74
