Vùng,Tỉnh/thành phố,Năng suất lao động phân theo địa phương,Dân số trung bình_x,Số nam giới,Dân số trung bình_y,Số nữ giới,Chỉ số sản xuất công nghiệp phân theo địa phương ,Diện tích sàn xây dựng nhà tự xây tự ở hoàn thành trong năm của hộ dân cư phân theo địa phương,Diện tích sàn xây dựng nhà ở hoàn thành trong năm phân theo địa phương,Số doanh nghiệp đang hoạt động có kết quả sản xuất kinh doanh tại thời điểm 31_12 hàng năm phân theo địa phương,Số doanh nghiệp đang hoạt động tại thời điểm 31_12 hàng năm bình quân trên 1000 dân phân theo địa phương,Số doanh nghiệp đang hoạt động tại thời điểm 31_12 hàng năm phân theo địa phương,Số doanh nghiệp đăng ký thành lập mới phân theo địa phương,Hạn đăng ký,Số trường hợp tử vong được đăng ký khai tử phân theo địa phương,Cấp xét xử,Số vụ ly hôn đã xét xử phân theo địa phương và theo cấp xét xử,Tuổi kết hôn trung bình lần đầu phân theo địa phương,Tỷ số giới tính của dân số phân theo địa phương
Đồng bằng sông Cửu Long,Bến Tre,82.3,Nam,640.46,Nữ,657.54,115.9,1130.0,1194.0,3248.0,2.8,3572.0,566.0,Tổng số,13041.0,Tổng số,694.0,26.52,97.4
Đồng bằng sông Cửu Long,Cà Mau,122.6,Nam,617.17,Nữ,590.46,105.5,1671.0,1713.0,3662.0,3.2,3842.0,658.0,Tổng số,9714.0,Tổng số,1415.0,26.73,104.52
Đồng bằng sông Cửu Long,Cần Thơ,185.7,Nam,621.65,Nữ,630.7,129.2,784.0,944.0,9660.0,8.0,10060.0,1807.0,Tổng số,11605.0,Tổng số,745.0,29.32,98.56
Đồng bằng sông Cửu Long,Hậu Giang,119.2,Nam,369.24,Nữ,360.23,116.9,894.0,977.0,2157.0,3.5,2532.0,562.0,Tổng số,7264.0,Tổng số,423.0,27.96,102.5
Đồng bằng sông Cửu Long,Kiên Giang,128.2,Nam,896.34,Nữ,855.42,117.9,1655.0,3092.0,7619.0,4.9,8637.0,1892.0,Tổng số,15850.0,Tổng số,589.0,27.78,104.78
Đồng bằng sông Cửu Long,Long An,159.5,Nam,865.92,Nữ,868.34,109.0,1666.0,1713.0,9582.0,6.6,11493.0,1763.0,Tổng số,13728.0,Tổng số,708.0,26.99,99.72
Đồng bằng sông Cửu Long,Sóc Trăng,108.7,Nam,606.4,Nữ,591.43,105.1,1186.0,1288.0,2724.0,2.4,2895.0,450.0,Tổng số,14239.0,Tổng số,582.0,27.71,102.53
Đồng bằng sông Cửu Long,Tiền Giang,107.0,Nam,878.87,Nữ,906.36,113.7,1474.0,1550.0,4848.0,3.1,5530.0,935.0,Tổng số,16667.0,Tổng số,1271.0,27.07,96.97
Đồng bằng sông Cửu Long,Trà Vinh,137.0,Nam,503.32,Nữ,515.94,75.9,1270.0,1283.0,2189.0,2.6,2627.0,519.0,Tổng số,9615.0,Tổng số,432.0,26.41,97.55
Đồng bằng sông Cửu Long,Vĩnh Long,124.8,Nam,508.72,Nữ,520.11,125.0,855.0,926.0,2509.0,2.8,2877.0,438.0,Tổng số,9651.0,Tổng số,462.0,27.23,97.81
Đồng bằng sông Cửu Long,Đồng Tháp,125.24166666666666,,659.6983333333334,,659.6308333333333,113.6,1337.0,1407.0,3648.0,2.5,3985.0,738.0,Tổng số,18327.0,Tổng số,532.0,27.51,102.32
Đồng bằng sông Hồng,Bắc Ninh,327.3,Nam,732.05,Nữ,756.21,104.3,1883.0,2120.0,11958.0,10.0,14894.0,2700.0,Tổng số,7585.0,Tổng số,184.0,25.1,96.81
Đồng bằng sông Hồng,Hà Nam,168.4,Nam,434.81,Nữ,443.24,114.1,1417.0,1420.0,4342.0,5.9,5148.0,796.0,Tổng số,7733.0,Tổng số,188.0,26.71,98.1
Đồng bằng sông Hồng,Hà Nội,304.1,Nam,4167.29,Nữ,4268.36,108.8,7740.0,8219.0,150522.0,22.2,187007.0,29720.0,Tổng số,46555.0,Tổng số,1209.0,26.89,97.63
Đồng bằng sông Hồng,Hưng Yên,196.4,Nam,648.23,Nữ,642.62,110.4,2523.0,2524.0,7100.0,6.9,8968.0,1364.0,Tổng số,9482.0,Tổng số,164.0,26.41,100.87
Đồng bằng sông Hồng,Hải Dương,181.2,Nam,975.5,Nữ,971.32,111.3,3021.0,3041.0,8624.0,5.4,10605.0,1579.0,Tổng số,13912.0,Tổng số,420.0,26.79,100.43
Đồng bằng sông Hồng,Hải Phòng,356.8,Nam,1035.33,Nữ,1052.69,114.4,2707.0,2849.0,17340.0,9.9,20730.0,3294.0,Tổng số,15395.0,Tổng số,801.0,27.08,98.35
Đồng bằng sông Hồng,Nam Định,247.83,,1070.663,,1087.08,114.3,2504.0,2526.0,5996.0,3.6,6848.0,1088.0,Tổng số,15007.0,Tổng số,673.0,25.19,96.05
Đồng bằng sông Hồng,Ninh Bình,166.4,Nam,505.67,Nữ,505.08,104.1,1687.0,1687.0,4156.0,5.1,5162.0,781.0,Tổng số,7032.0,Tổng số,126.0,25.85,100.12
Đồng bằng sông Hồng,Quảng Ninh,405.7,Nam,692.66,Nữ,670.22,106.0,1243.0,1479.0,8183.0,7.3,9908.0,1643.0,Tổng số,7607.0,Tổng số,425.0,26.46,103.35
Đồng bằng sông Hồng,Thái Bình,111.5,Nam,917.06,Nữ,961.47,114.8,3333.0,3348.0,5195.0,3.2,5933.0,1130.0,Tổng số,16372.0,Tổng số,322.0,27.02,97.28
Đồng bằng sông Hồng,Vĩnh Phúc,260.5,Nam,598.03,Nữ,599.59,115.5,2178.0,2180.0,7137.0,7.6,9100.0,1377.0,Tổng số,6733.0,Tổng số,288.0,25.4,99.74
